artist_id,date,platform,total_streams,unique_listeners,peak_hour,avg_completion_rate
A0001,2025-01-14,spotify,716,287,18,0.55
A0001,2025-01-14,youtube,280,158,19,0.86
A0001,2025-01-14,instagram,151,109,18,0.6
A0001,2025-01-13,spotify,762,405,18,0.72
A0001,2025-01-13,youtube,508,246,18,0.82
A0001,2025-01-13,instagram,249,160,19,0.66
A0001,2025-01-12,spotify,993,690,18,0.68
A0001,2025-01-12,youtube,698,512,18,0.66
A0001,2025-01-12,instagram,373,200,22,0.88
A0001,2025-01-11,spotify,528,303,21,0.54
A0001,2025-01-11,youtube,756,543,21,0.56
A0001,2025-01-11,instagram,281,194,20,0.68
A0001,2025-01-10,spotify,876,510,21,0.75
A0001,2025-01-10,youtube,690,374,19,0.76
A0001,2025-01-10,instagram,354,217,20,0.7
A0001,2025-01-09,spotify,819,615,18,0.73
A0001,2025-01-09,youtube,261,127,21,0.64
A0001,2025-01-09,instagram,295,153,22,0.82
A0001,2025-01-08,spotify,242,99,22,0.8
A0001,2025-01-08,youtube,238,120,20,0.51
A0001,2025-01-08,instagram,315,163,21,0.78
A0001,2025-01-07,spotify,790,624,21,0.77
A0001,2025-01-07,youtube,140,79,18,0.7
A0001,2025-01-07,instagram,461,214,21,0.58
A0001,2025-01-06,spotify,621,493,22,0.73
A0001,2025-01-06,youtube,222,154,21,0.77
A0001,2025-01-06,instagram,475,261,19,0.83
A0001,2025-01-05,spotify,771,419,17,0.69
A0001,2025-01-05,youtube,654,494,18,0.65
A0001,2025-01-05,instagram,335,136,20,0.77
A0001,2025-01-04,spotify,623,331,21,0.71
A0001,2025-01-04,youtube,796,368,19,0.6
A0001,2025-01-04,instagram,302,194,20,0.56
A0001,2025-01-03,spotify,201,92,19,0.54
A0001,2025-01-03,youtube,380,205,22,0.84
A0001,2025-01-03,instagram,444,223,22,0.73
A0001,2025-01-02,spotify,431,240,18,0.87
A0001,2025-01-02,youtube,736,378,18,0.6
A0001,2025-01-02,instagram,170,87,18,0.86
A0001,2025-01-01,spotify,673,309,22,0.88
A0001,2025-01-01,youtube,613,275,17,0.76
A0001,2025-01-01,instagram,273,132,17,0.63
A0001,2024-12-31,spotify,161,81,21,0.82
A0001,2024-12-31,youtube,691,550,17,0.7
A0001,2024-12-31,instagram,68,45,18,0.65
A0001,2024-12-30,spotify,763,481,19,0.82
A0001,2024-12-30,youtube,109,54,22,0.65
A0001,2024-12-30,instagram,235,154,21,0.7
A0001,2024-12-29,spotify,765,427,20,0.68
A0001,2024-12-29,youtube,792,332,20,0.83
A0001,2024-12-29,instagram,444,286,22,0.72
A0001,2024-12-28,spotify,479,283,20,0.65
A0001,2024-12-28,youtube,799,408,20,0.73
A0001,2024-12-28,instagram,364,241,19,0.82
A0001,2024-12-27,spotify,165,104,18,0.85
A0001,2024-12-27,youtube,574,420,17,0.54
A0001,2024-12-27,instagram,496,235,20,0.64
A0001,2024-12-26,spotify,156,66,21,0.74
A0001,2024-12-26,youtube,656,321,18,0.5
A0001,2024-12-26,instagram,357,264,22,0.51
A0001,2024-12-25,spotify,590,245,22,0.63
A0001,2024-12-25,youtube,520,369,20,0.76
A0001,2024-12-25,instagram,168,97,18,0.78
A0001,2024-12-24,spotify,793,483,19,0.78
A0001,2024-12-24,youtube,372,260,20,0.51
A0001,2024-12-24,instagram,457,297,17,0.87
A0001,2024-12-23,spotify,616,283,17,0.75
A0001,2024-12-23,youtube,111,70,21,0.65
A0001,2024-12-23,instagram,164,110,20,0.59
A0001,2024-12-22,spotify,125,90,18,0.6
A0001,2024-12-22,youtube,783,462,17,0.86
A0001,2024-12-22,instagram,486,333,20,0.81
